Darija_Arabe,Arabizi,Arabe_Standard,Anglais
ثقة,tiqa,ثقة,trust,
حافة,7affa,حافة,edge,
حافة,7afa,حافة,edge,
حافة,haffa,حافة,edge,
حافة,hafa,حافة,edge,
ڭاز,gaz,غاز,gas,
سكة,sekka,سكة,railway,
سكة,skka,سكة,railway,
تعبير,t3bir,تعبير,expression,
تعبير,ta3bir,تعبير,expression,
مميزة,momayyiza,مميزة,advantage,
مميزة,momayiza,مميزة,advantage,
أفانتاج,avantage,أفانتاج,advantage,
دهب,dheb,دهب,gold,
دهب,dhb,دهب,gold,
دهب,dhab,دهب,gold,
خشب,khcheb,خشب,wood,
خشب,khchb,خشب,wood,
خشب,khchab,خشب,wood,
خشب,5cheb,خشب,wood,
خشب,5chb,خشب,wood,
خشب,5chab,خشب,wood,
ريزو,rizo,شبكة,network,
تكست,text,نص,text,
غابة,ghaba,غابة,forest,
أخت,okht,أخت,sister,
أخت,kht,أخت,sister,
أخت,o5t,أخت,sister,
أخت,5t,أخت,sister,
رجل,rjel,رجل,foot,
رجل,rjl,رجل,foot,
طلع,tl3,ارتفاع,rise,
طلع,tla3,ارتفاع,rise,
طلع,tlaa,ارتفاع,rise,
شتا,chta,شتاء,winter,
شتا,chtwa,شتاء,winter,
قنت,9nt,زاوية,corner,
قنت,9ent,زاوية,corner,
قنت,9ont,زاوية,corner,
قنت,9nt,مكان,place,
قنت,9ent,مكان,place,
قنت,9ont,مكان,place,
أصورانص,asorans,تأمين,insurance,
ضرر,darar,ضرر,damage,
كريدي,kridi,قرض,credit,
ألم,2alam,ألم,pain,
ألم,alam,ألم,pain,
تشريع,tchri3,تشريع,legislation,
تشريع,tachri3,تشريع,legislation,
صحة,se77a,صحة,strength,
صحة,se7a,صحة,strength,
صحة,s7a,صحة,strength,
صحة,s77a,صحة,strength,
سرعة,sor3a,سرعة,speed,
كدية,kdia,تل,hill,
كدية,kodia,تل,hill,
نقاش,ni9ach,نقاش,debate,
نقاش,niqach,نقاش,debate,
إرادة,irada,إرادة,will,
ثقة,tiqa,ثقة,confidence,
ثقة,ti9a,ثقة,confidence,
صبار,sebbar,صبور,patient,
صبار,sebar,صبور,patient,
مريض,mrid,مريض,patient,
ريح,ri7,ريح,wind,
ريح,rih,ريح,wind,
فرقة,fer9a,فرقة,band,
فرقة,fir9a,فرقة,band,
فرقة,fr9a,فرقة,band,
فرقة,ferqa,فرقة,band,
فرقة,firqa,فرقة,band,
فرقة,frqa,فرقة,band,
متحف,mt7af,متحف,museum,
متحف,mot7af,متحف,museum,
متحف,mthaf,متحف,museum,
متحف,mothaf,متحف,museum,
فيرما,firma,مزرعة,farm,
جنيه,jonayh,جنيه,pound,
ماتش,match,ماتش,match,
تقدير,t9dir,تقدير,assessment,
تقدير,ta9dir,تقدير,assessment,
تقدير,tqdir,تقدير,assessment,
تقدير,taqdir,تقدير,assessment,
رسالة,risala,رسالة,message,
رسالة,rissala,رسالة,message,
ميساج,misaj,رسالة,message,
ميساج,missaj,رسالة,message,
كورة,kora,كرة القدم,football,
لا,lla,لا,no,
جلد,jld,جلد,skin,
جلد,jeld,جلد,skin,
جلد,jald,جلد,skin,
مشهد,mshhed,مشهد,scene,
مشهد,msh8ed,مشهد,scene,
مشهد,mashhad,مشهد,scene,
مشهد,mashhd,مشهد,scene,
مشهد,mash8d,مشهد,scene,
مشهد,mash8ad,مشهد,scene,
مقال,ma9al,مقال,article,
مقال,maqal,مقال,article,
ماتريال,materiel,أغراض,stuff,
مقدمة,mo9addima,مقدمة,introduction,
مقدمة,mo9adima,مقدمة,introduction,
مسرحية,msra7ia,مسرحية,play,
مسرحية,masra7ia,مسرحية,play,
مسرحية,msrahia,مسرحية,play,
مسرحية,masrahia,مسرحية,play,
إدارة,idara,إدارة,administration,
خوف,khawf,خوف,fear,
خوف,khouf,خوف,fear,
خوف,5awf,خوف,fear,
خوف,5ouf,خوف,fear,
أب,ab,أب,dad,
نسبة,nisba,نسبة,proportion,
جزيرة,jazira,جزيرة,island,
كونتاكت,kontakt,اتصال,contact,
يابان,yaban,يابان,japan,
جاپّون,jappon,يابان,japan,
مطالبة,motalaba,مطالبة,claim,
ڤيديو,vidio,فيديو,video,
تلفازة,tlfaza,تلفازة,tv,
تلفازة,talfaza,تلفازة,tv,
وجود,wojoud,وجود,existence,
تيليفون,tilifoun,تيليفون,telephone,
حركة,haraka,حركة,move,
حركة,7araka,حركة,move,
مسافة,masafa,مسافة,distance,
مسافة,massafa,مسافة,distance,
رتياح,rtiya7,رتياح,relief,
عيادة,3iyada,عيادة,cabinet,
خزانة,khizana,خزانة,library,
خزانة,5izana,خزانة,library,
بطالة,bitala,بطالة,unemployment,
واقع,wa9i3,واقع,reality,
هدف,hadaf,هدف,target,
هدف,8adaf,هدف,target,
حجرة,7jra,حجرة,rock,
حجرة,7ajra,حجرة,rock,
حجرة,7ejra,حجرة,rock,
حجرة,hjra,حجرة,rock,
حجرة,hajra,حجرة,rock,
حجرة,hejra,حجرة,rock,
فكرة,fikra,فكرة,concept,
روح,rou7,روح,spirit,
روح,rouh,روح,spirit,
منظمة,monaddama,منظمة,organization,
منظمة,monadama,منظمة,organization,
بني,bni,بناء,construction,
تيليفون,tilifoun,تيليفون,phone,
توزيع,tawzi3,توزيع,distribution,
قطار,9itar,قطار,train,
منظر,mndr,منظر,sight,
منظر,mnder,منظر,sight,
منظر,mender,منظر,sight,
صعوبة,so3oba,صعوبة,difficulty,
عامل,3amil,عامل,factor,
تمرين,tmrin,تمرين,exercise,
تمرين,tamrin,تمرين,exercise,
ويكاند,wikand,عطلة نهاية الأسبوع,weekend,
معركة,m3raka,معركة,battle,
معركة,ma3raka,معركة,battle,
معركة,me3raka,معركة,battle,
بورس,bourse,منحة,grant,
منحة,min7a,منحة,grant,
منحة,minha,منحة,grant,
طيارة,tiyyara,طائرة,aircraft,
طيارة,tiyara,طائرة,aircraft,
طيارة,tayara,طائرة,aircraft,
قنطرة,9ntra,جسر,bridge,
قنطرة,9entra,جسر,bridge,
قنطرة,9antra,جسر,bridge,
ڭنطرة,guentra,جسر,bridge,
ڭنطرة,guntra,جسر,bridge,
ڭنطرة,guantra,جسر,bridge,
إستراتيجية,stratijia,إستراتيجية,strategy,
تواصل,tawasol,تواصل,communication,
تواصل,tawassol,تواصل,communication,
خلفية,khlfia,خلفية,background,
خلفية,khalfia,خلفية,background,
خلفية,khelfia,خلفية,background,
خلفية,5lfia,خلفية,background,
خلفية,5alfia,خلفية,background,
خلفية,5elfia,خلفية,background,
شكل,shkel,شكل,shape,
شكل,shakl,شكل,shape,
شكل,chakl,شكل,shape,
شكل,chkel,شكل,shape,
ڤان,vin,نبيذ,wine,
شراب,chrab,نبيذ,wine,
نجمة,njma,نجمة,star,
نجمة,nejma,نجمة,star,
نجمة,najma,نجمة,star,
أمل,amal,أمل,hope,
ختيار,khtiyar,اختيار,selection,
ختيار,5tiyar,اختيار,selection,
تفاصيل,tafasil,تفاصيل,detail,
تفاصيل,tafassil,تفاصيل,detail,
تفاصيل,tfsil,تفاصيل,detail,
تفاصيل,tfssil,تفاصيل,detail,
مستعمل,mosta3mil,مستعمل,user,
مستعمل,most3mil,مستعمل,user,
مستعمل,mosta3ml,مستعمل,user,
مستعمل,most3ml,مستعمل,user,
كليان,kliyan,زبون,client,
زبون,zboun,زبون,client,
رئيس,ra2is,رئيس,master,
رئيس,rayes,رئيس,master,
شتا,chta,شتا,rain,
عرض,3ard,عرض,offer,
عرض,3rd,عرض,offer,
عرض,3erd,عرض,offer,
هدف,8adaf,هدف,goal,
هدف,hadaf,هدف,goal,
عشا,3cha,عشا,dinner,
موقف,maw9if,موقف,attitude,
موقف,mawqif,موقف,attitude,
وكالة,wakala,وكالة,agency,
مقعد,m93ed,مقعد,seat,
مقعد,m93ad,مقعد,seat,
مقعد,ma93ad,مقعد,seat,
مقعد,mq3ed,مقعد,seat,
مقعد,mq3ad,مقعد,seat,
مقعد,maq3ad,مقعد,seat,
طريقة,tari9a,طريقة,manner,
طريقة,tariqa,طريقة,manner,
كرموص,kermos,تين,fig,
كرموص,kermous,تين,fig,
أزمة,azma,أزمة,crisis,
ضحكة,de7ka,ضحكة,smile,
ضحكة,d7ka,ضحكة,smile,
ضحكة,da7ka,ضحكة,smile,
ضحكة,dehka,ضحكة,smile,
ضحكة,dhka,ضحكة,smile,
ضحكة,dahka,ضحكة,smile,
إنتاج,intaj,إنتاج,output,
ملاحظة,mola7da,ملاحظة,note,
ملاحظة,molahda,ملاحظة,note,
مذكرة,modakira,مذكرة,note,
مذكرة,modakkira,مذكرة,note,
نوتة,nota,نوتة,note,
إجراء,ijra2,إجراء,procedure,
إجراء,ijraa,إجراء,procedure,
مسرح,msre7,مسرح,theatre,
مسرح,masre7,مسرح,theatre,
مسرح,masra7,مسرح,theatre,
مسرح,msreh,مسرح,theatre,
مسرح,masreh,مسرح,theatre,
مسرح,masrah,مسرح,theatre,
دورة,dora,دورة,tour,
إعتراف,3tiraf,إعتراف,recognition,
وسط,wst,وسط,middle,
وسط,wast,وسط,middle,
غياب,ghiyab,غياب,absence,
باكية,bakia,طرد,package,
باكي,baki,طرد,package,
مسار,masar,مسار,track,
مسار,massar,مسار,track,
بطاقة,bita9a,بطاقة,card,
بطاقة,bitaqa,بطاقة,card,
علامة,3alama,علامة,sign,
علامة,alama,علامة,sign,
إشارة,ichara,إشارة,sign,
رمز,ramz,رمز,sign,
التزام,ltizam,التزام,commitment,
لاعب,la3ib,لاعب,player,
لاعب,le33ab,لاعب,player,
لاعب,le3ab,لاعب,player,
تهديد,tahdid,تهديد,threat,
تهديد,ta8did,تهديد,threat,
تهديد,thdid,تهديد,threat,
تهديد,t8did,تهديد,threat,
طقس,ta9s,طقس,weather,
جو,jow,جو,element,
جو,jaw,جو,element,
تنبيه,tnbih,تنبيه,notice,
تنبيه,tanbih,تنبيه,notice,
تنبيه,tanbi8,تنبيه,notice,
تنبيه,tnbi8,تنبيه,notice,
نتصار,ntisar,انتصار,victory,
نتصار,ntissar,انتصار,victory,
تحت,te7t,تحت,bottom,
تحت,ta7t,تحت,bottom,
تحت,teht,تحت,bottom,
تحت,taht,تحت,bottom,
مالية,malia,مالية,finance,
فِينَانس,finance,مالية,finance,
فلوس,flous,نقود,fund,
ملف,milaf,ملف,file,
ملف,milef,ملف,file,
ملف,milf,ملف,file,
ربح,rbe7,ربح,profit,
ربح,rb7,ربح,profit,
ربح,rba7,ربح,profit,
ربح,rbeh,ربح,profit,
ربح,rbh,ربح,profit,
ربح,rbah,ربح,profit,
پريز,priz,موصل الصوت,jack,
طريق,tri9,طريق,route,
طريق,triq,طريق,route,
شينوا,chinwa,الصين,china,
شين,chine,الصين,china,
مصروف,msrof,مصاريف,expenditure,
مصروف,masrof,مصاريف,expenditure,
مصروف,mssrof,مصاريف,expenditure,
مصروف,massrof,مصاريف,expenditure,
تاني,tani,ثاني,second,
نضباط,ndibat,انضباط,discipline,
نضباط,ndhibat,انضباط,discipline,
سيلون,siloun,سجن,cell,
زنزانة,zinzana,سجن,cell,
ردة الفعل,raddat lfi3l,ردة الفعل,reaction,
قلعة,9l3a,قلعة,castle,
قلعة,9al3a,قلعة,castle,
قلعة,9el3a,قلعة,castle,
قلعة,ql3a,قلعة,castle,
قلعة,qal3a,قلعة,castle,
قلعة,qel3a,قلعة,castle,
مؤتمر,mo2tamar,مؤتمر,congress,
فرد,fard,فرد,individual,
فرد,ferd,فرد,individual,
قيادة,9iyada,قيادة,lead,
عتبار,3tibar,اعتبار,consideration,
دين,din,دين,debt,
دين,dine,دين,debt,
ختيار,khtiyar,اختيار,option,
ختيار,5tiyar,اختيار,option,
معرض,m3rid,معرض,exhibition,
معرض,ma3rid,معرض,exhibition,
إصلاح,isla7,إصلاح,reform,
إصلاح,islah,إصلاح,reform,
تشديد,teshdid,تشديد,emphasis,
تشديد,tshdid,تشديد,emphasis,
تشديد,tashdid,تشديد,emphasis,
تشديد,techdid,تشديد,emphasis,
تشديد,tchdid,تشديد,emphasis,
تشديد,tachdid,تشديد,emphasis,
ربيع,rabi3,ربيع,spring,
جمهور,jmhor,جمهور,audience,
جمهور,jomhor,جمهور,audience,
جمهور,jom8or,جمهور,audience,
جمهور,jomhour,جمهور,audience,
جمهور,jom8our,جمهور,audience,
جمهور,jom8our,جمهور,audience,
خاصّية,khassia,خاصّية,feature,
خاصّية,khasia,خاصّية,feature,
خاصّية,5assia,خاصّية,feature,
خاصّية,5asia,خاصّية,feature,
ميزة,miza,ميزة,feature,
ميزة,myza,ميزة,feature,
لمسة,lmsa,لمسة,touch,
لمسة,lamsa,لمسة,touch,
لمسة,lemsa,لمسة,touch,
ملكية,milkia,ملكية,ownership,
مجلس,majliss,مجلس,assembly,
مجلس,mjliss,مجلس,assembly,
مجلس,majlis,مجلس,assembly,
مجلس,mjlis,مجلس,assembly,
حجم,7ajm,حجم,volume,
حجم,hajm,حجم,volume,
مشاركة,mocharaka,مشاركة,contribution,
پروڭرام,program,برنامج,curriculum,
مضهر,madhar,مظهر,appearance,
مضهر,mdhar,مظهر,appearance,
مضهر,mDher,مظهر,appearance,
مضهر,mad8ar,مظهر,appearance,
مضهر,md8ar,مظهر,appearance,
مضهر,md8er,مظهر,appearance,
مؤسسة,mo2assasa,مؤسسة,institute,
مؤسسة,mo2ssasa,مؤسسة,institute,
مؤسسة,moassasa,مؤسسة,institute,
مؤسسة,moasasa,مؤسسة,institute,
مؤسسة,moasassa,مؤسسة,institute,
عضوية,3odwia,عضوية,membership,
عرش,3rsh,فرع,branch,
عرش,3orsh,فرع,branch,
عرش,3arsh,فرع,branch,
عرش,3rch,فرع,branch,
عرش,3orch,فرع,branch,
عرش,3arch,فرع,branch,
زبل,zbel,نفايات,waste,
زبل,zbl,نفايات,waste,
زبل,zbal,نفايات,waste,
عنق,3n9,عنق,neck,
عنق,3on9,عنق,neck,
عنڭ,3ng,عنق,neck,
عنڭ,3ong,عنق,neck,
رقبة,ra9ba,عنق,neck,
رقبة,rakba,عنق,neck,
موضوع,mawdo3,موضوع,object,
كابتن,capitin,قبطان,captain,
قبطان,9obtan,قبطان,captain,
قبطان,qobtan,قبطان,captain,
تحدي,ta7addi,تحدي,challenge,
تحدي,ta7adi,تحدي,challenge,
تحدي,tahaddi,تحدي,challenge,
محادثة,mo7adata,محادثة,conversation,
محادثة,mohadata,محادثة,conversation,
محادثة,mo7adatha,محادثة,conversation,
محادثة,mohadatha,محادثة,conversation,
حديث,7dit,حديث,conversation,
حديث,7tit,حديث,conversation,
كود,kod,كود,code,
تاج,taj,تاج,crown,
سكات,skat,هدوء,silence,
أدب,adab,أدب,literature,
إيمان,imane,إيمان,faith,
جهنّم,jahennam,جهنّم,hell,
جهنّم,jahannam,جهنّم,hell,
جهنّم,jahenam,جهنّم,hell,
جهنّم,jahanam,جهنّم,hell,
جهنّم,ja8ennam,جهنّم,hell,
جهنّم,ja8annam,جهنّم,hell,
جهنّم,ja8enam,جهنّم,hell,
جهنّم,ja8anam,جهنّم,hell,
مدخل,mdkhl,مدخل,entry,
مدخل,mdkhal,مدخل,entry,
مدخل,medkhal,مدخل,entry,
مدخل,madkhal,مدخل,entry,
مدخل,md5l,مدخل,entry,
مدخل,md5al,مدخل,entry,
مدخل,med5al,مدخل,entry,
مدخل,mad5al,مدخل,entry,
دخلة,dkhla,مدخل,entry,
دخلة,dakhla,مدخل,entry,
دخلة,d5la,مدخل,entry,
دخلة,da5la,مدخل,entry,
نتقال,nti9al,تحويل,transfer,
السيد,ssiyed,السيد,gentleman,
السيد,ssiyd,السيد,gentleman,
شكارة,chkara,حقيبة,bag,
محفظة,mi7fada,محفظة,bag,
محفظة,mihfada,محفظة,bag,
فاخر,fakhr,فاخر,coal,
فاخر,fakher,فاخر,coal,
فاخر,fa5r,فاخر,coal,
فاخر,fa5er,فاخر,coal,
تحقيق,t79i9,تحقيق,investigation,
تحقيق,ta79i9,تحقيق,investigation,
تحقيق,th9i9,تحقيق,investigation,
تحقيق,tah9i9,تحقيق,investigation,
تحقيق,t7qiq,تحقيق,investigation,
تحقيق,ta7qiq,تحقيق,investigation,
تحقيق,thqiq,تحقيق,investigation,
تحقيق,tahqiq,تحقيق,investigation,
رجل,rjel,قدم,leg,
رجل,rjl,قدم,leg,
ساق,sa9,ساق,leg,
إعتقاد,3ti9ad,إعتقاد,belief,
مجموع,majmo3,مجموع,total,
مجموع,majmou3,مجموع,total,
وثيقة,wati9a,وثيقة,document,
وثيقة,watiqa,وثيقة,document,
وصف,wasf,وصف,description,
هدف,hadaf,هدف,aim,
هدف,8adaf,هدف,aim,
غرض,gharad,غرض,aim,
ڤول,vol,طيران,flight,
خاتمة,khatima,خاتمة,conclusion,
خاتمة,5atima,خاتمة,conclusion,
تقليد,ta9lid,تقليد,tradition,
تقليد,t9lid,تقليد,tradition,
تقليد,taqlid,تقليد,tradition,
تقليد,tqlid,تقليد,tradition,
پليزير,plizir,سرور,pleasure,
مول,moul,مالك,owner,
معاهدة,mo3ahada,معاهدة,treaty,
معاهدة,mo3a8ada,معاهدة,treaty,
رغبة,rghba,رغبة,desire,
رغبة,raghba,رغبة,desire,
پروفسور,professor,أستاذ,professor,
نسخة,nskha,نسخة,copy,
نسخة,noskha,نسخة,copy,
نسخة,ns5a,نسخة,copy,
نسخة,nos5a,نسخة,copy,
حامض,7amd,حامض,acid,
حامض,7amed,حامض,acid,
حامض,hamd,حامض,acid,
حامض,hamed,حامض,acid,
قصر,9ser,قصر,palace,
قصر,9sser,قصر,palace,
قصر,9sr,قصر,palace,
قصر,qser,قصر,palace,
قصر,qsser,قصر,palace,
قصر,qsr,قصر,palace,
أدريسّا,adrissa,عنوان,address,
مؤسسة,mo2ssasa,مؤسسة,institution,
مؤسسة,mo2assasa,مؤسسة,institution,
غدا,ghda,غداء,lunch,
جيل,jil,جيل,generation,
شريك,chrik,شريك,partner,
شريك,charik,شريك,partner,
موطور,motor,محرك,engine,
جورنال,jornan,جورنال,newspaper,
تخفيض,tkhfid,تخفيض,reduction,
تخفيض,takhfid,تخفيض,reduction,
تخفيض,t5fid,تخفيض,reduction,
تخفيض,ta5fid,تخفيض,reduction,
رفاهية,rafahia,رفاهية,welfare,
رفاهية,rafa8ia,رفاهية,welfare,
تعريف,t3rif,تعريف,definition,
تعريف,ta3rif,تعريف,definition,
تعريف,te3rif,تعريف,definition,
طلق,tl9,اطلاق,release,
طلق,tle9,اطلاق,release,
تصويت,tswit,تصويت,vote,
تصويت,taswit,تصويت,vote,
فحص,fa7s,فحص,examination,
فحص,fahs,فحص,examination,
قاضي,9adi,قاضي,judge,
قاضي,qadi,قاضي,judge,
غلاف جوّي,ghilaf jawwi,غلاف جوّي,atmosphere,
غلاف جوّي,ghilaf jawi,غلاف جوّي,atmosphere,
قيادة,9iyada,قيادة,leadership,
قيادة,qiyada,قيادة,leadership,
سما,sma,سماء,sky,
نفس,nefs,نفس,breath,
نفس,nfs,نفس,breath,
نفس,nafs,نفس,breath,
خلق,khal9,خلق,creation,
خلق,khl9,خلق,creation,
خلق,khel9,خلق,creation,
خلق,5al9,خلق,creation,
خلق,5l9,خلق,creation,
خلق,5el9,خلق,creation,
خلق,khalq,خلق,creation,
خلق,khlq,خلق,creation,
خلق,khelq,خلق,creation,
خلق,5alq,خلق,creation,
خلق,5lq,خلق,creation,
خلق,5elq,خلق,creation,
صف,sf,صف,row,
صف,saf,صف,row,
صف,sef,صف,row,
ڭيد,guide,دليل,guide,
حليب,7lib,حليب,milk,
حليب,hlib,حليب,milk,
تغطية,tghtia,تغطية,cover,
تغطية,taghtia,تغطية,cover,
شاشة,shasha,شاشة,screen,
شاشة,chacha,شاشة,screen,
شاشة,chasha,شاشة,screen,
شاشة,shacha,شاشة,screen,
هدف,hadaf,هدف,intention,
هدف,8adaf,هدف,intention,
نقد,na9d,نقد,criticism,
نقد,naqd,نقد,criticism,
نقرة,ne9ra,فضة,silver,
نقرة,no9ra,فضة,silver,
نقرة,n9ra,فضة,silver,
نقرة,neqra,فضة,silver,
نقرة,noqra,فضة,silver,
نقرة,nqra,فضة,silver,
كليان,kliyan,زبون,customer,
كليان,klian,زبون,customer,
رحلة,ri7la,رحلة,journey,
رحلة,rihla,رحلة,journey,
تفسير,tfsir,تفسير,explanation,
تفسير,tafsir,تفسير,explanation,
تفسير,tefsir,تفسير,explanation,
عبار,3bar,قياس,measure,
دماغ,dmagh,دماغ,brain,
معنى,m3na,معنى,significance,
معنى,me3na,معنى,significance,
معنى,ma3na,معنى,significance,
إصابة,isaba,إصابة,injury,
إصابة,issaba,إصابة,injury,
پلاج,plage,الساحل,coast,
تقنية,ti9nia,تقنية,technique,
تقنية,tiqnia,تقنية,technique,
واد,wad,واد,valley,
واد,ouad,واد,valley,
مشروب,mchroub,مشروب,drink,
مشروب,mchrob,مشروب,drink,
مشروب,machrob,مشروب,drink,
مجلة,majalla,مجلة,magazine,
مجلة,majala,مجلة,magazine,
إمكانية,imkania,إمكانية,potential,
ثورة,tawra,ثورة,revolution,
مستوطنة,mostawtana,مستوطنة,settlement,
عيسى,3isa,عيسى,christ,
عيسى,3issa,عيسى,christ,
معدن,ma3din,معدن,metal,
معدن,ma3den,معدن,metal,
معدن,m3dn,معدن,metal,
إقتراح,9tira7,إقتراح,motion,
إقتراح,qtira7,إقتراح,motion,
مؤشّر,mo2ashshir,مؤشّر,index,
مؤشّر,mo2achir,مؤشّر,index,
مؤشّر,mo2chir,مؤشّر,index,
بالغ,baligh,بالغ,adult,
تضخّم,tadakhkhom,تضخّم,inflation,
تضخّم,tadakhom,تضخّم,inflation,
تضخّم,tada55om,تضخّم,inflation,
تضخّم,tada5om,تضخّم,inflation,
رياضة,riyada,رياضة,sport,
رياضة,riada,رياضة,sport,
مفاجأة,mofaja2a,مفاجأة,surprise,
تقاعد,ta9a3od,تقاعد,pension,
تقاعد,taqa3od,تقاعد,pension,
معمل,m3ml,معمل,factory,
معمل,ma3mal,معمل,factory,
معمل,me3mel,معمل,factory,
شريط,sharit,شريط,tape,
شريط,charit,شريط,tape,
كاسيط,kasita,شريط,tape,
كاسيط,kassita,شريط,tape,
تيار,tayyar,تيار,flow,
تيار,tayar,تيار,flow,
حديد,7did,حديد,iron,
حديد,hdid,حديد,iron,
خط,khat,خط,lane,
خط,5at,خط,lane,
طريق,tri9,طريق,lane,
طريق,triq,طريق,lane,
پيسين,piscine,مسبح,pool,
حفرة,7fra,حفرة,hole,
حفرة,7ofra,حفرة,hole,
حفرة,7efra,حفرة,hole,
حفرة,hfra,حفرة,hole,
حفرة,hofra,حفرة,hole,
حفرة,hefra,حفرة,hole,
پارطمة,partma,شقة,flat,
محتوى,mo7tawa,محتوى,content,
محتوى,mohtawa,محتوى,content,
مزيج,mazij,مزيج,combination,
تخليطة,tkhlita,مزيج,combination,
تخليطة,takhlita,مزيج,combination,
تخليطة,t5lita,مزيج,combination,
تخليطة,ta5lita,مزيج,combination,
خلطة,khlta,مزيج,combination,
خلطة,khalta,مزيج,combination,
خلطة,khelta,مزيج,combination,
خلطة,5lta,مزيج,combination,
خلطة,5alta,مزيج,combination,
خلطة,5elta,مزيج,combination,
جلسة,jelsa,جلسة,session,
جلسة,jlsa,جلسة,session,
جلسة,jalsa,جلسة,session,
موعد,maw3id,موعد,appointment,
موعد,mo3id,موعد,appointment,
لاموض,lamod,الموضة,fashion,
مستهلك,mostahlik,مستهلك,consumer,
مستهلك,mosta8lik,مستهلك,consumer,
كليان,klian,مستهلك,consumer,
سكنى,sokna,دار,accommodation,
سكنى,skna,دار,accommodation,
درجة الحرارة,darajat l7arara,درجة الحرارة,temperature,
درجة الحرارة,darajat lharara,درجة الحرارة,temperature,
دين,din,دين,religion,
دين,dine,دين,religion,
كاتب,katib,كاتب,author,
مؤلّف,mo2allif,مؤلّف,author,
مؤلّف,mo2alif,مؤلّف,author,
مؤلّف,moallif,مؤلّف,author,
أمة,omma,أمة,nation,
أمة,2omma,أمة,nation,
أمة,oma,أمة,nation,
أمة,2oma,أمة,nation,
شمالي,chamali,شمالي,northern,
شمالي,shamali,شمالي,northern,
عيّنة,3ayyina,عيّنة,sample,
عيّنة,3ayina,عيّنة,sample,
مساعدة,mosa3ada,مساعدة,assistance,
ترجمة,tarjama,ترجمة,interpretation,
ترجمة,terjama,ترجمة,interpretation,
ترجمة,trjama,ترجمة,interpretation,
تأويل,ta2wil,تأويل,interpretation,
تأويل,t2wil,تأويل,interpretation,
جانب,janib,جانب,aspect,
عرض,3ard,عرض,display,
كتف,ktef,كتف,shoulder,
كتف,ktf,كتف,shoulder,
وكيل,wakil,وكيل,agent,
صالون,salon,صالون,gallery,
كونصير,konsir,سرطان,cancer,
كونصير,cancer,سرطان,cancer,
إقتراح,i9tira7,إقتراح,proposal,
إقتراح,9tira7,إقتراح,proposal,
إقتراح,2i9tira7,إقتراح,proposal,
إقتراح,iqtirah,إقتراح,proposal,
إقتراح,qtirah,إقتراح,proposal,
إقتراح,2iqtirah,إقتراح,proposal,
تسلسل,tasalsol,تسلسل,sequence,
تسلسل,tassalsol,تسلسل,sequence,
باخيرة,bakhira,باخرة,ship,
باخيرة,ba5ira,باخرة,ship,
باطو,bato,باخرة,ship,
أنتخوتيان,entretiyan,مقابلة,interview,
أنتخوتيان,entretien,مقابلة,interview,
مركبة,markaba,مركبة,vehicle,
مركبة,merkaba,مركبة,vehicle,
طونوبيل,tonobil,مركبة,vehicle,
طونوبيل,tonoubil,مركبة,vehicle,
ديمقراطية,dimo9ratia,ديمقراطية,democracy,
ديمقراطية,dimoqratia,ديمقراطية,democracy,
تحسين,ta7sin,تحسين,improvement,
تحسين,t7sin,تحسين,improvement,
تحسين,tahsin,تحسين,improvement,
تحسين,thsin,تحسين,improvement,
تطوير,tatwir,تطوير,improvement,
تورّط,tawarrot,تورّط,involvement,
تورّط,tawarot,تورّط,involvement,
عام,3am,عام,general,
جنيرال,jiniral,لواء,general,
جنرال,jiniral,لواء,general,
وجبة,wjba,وجبة,meal,
وجبة,wajba,وجبة,meal,
فطور,ftor,فطور,breakfast,
فطور,ftour,فطور,breakfast,
موطور,motor,موطور,motor,
إذاعة,ida3a,إذاعة,channel,
إنطباع,ntiba3,إنطباع,impression,
ورقة,werqa,ورقة,sheet,
ورقة,wer9a,ورقة,sheet,
ورقة,war9a,ورقة,sheet,
ورقة,wr9a,ورقة,sheet,
ورقة,warqa,ورقة,sheet,
ورقة,wrqa,ورقة,sheet,
تلوّث,talawwoth,تلوّث,pollution,
تلوّث,talawoth,تلوّث,pollution,
تلوّث,talawwot,تلوّث,pollution,
تلوّث,talawot,تلوّث,pollution,
لجمال,ljamal,لجمال,beauty,
الزين,alzzine,الزين,beauty,
الزين,ezzine,الزين,beauty,
الزين,ezine,الزين,beauty,
مربّع,morbba3,مربّع,square,
مربّع,morabba3,مربّع,square,
مربّع,morebba3,مربّع,square,
مربّع,morba3,مربّع,square,
مربّع,moraba3,مربّع,square,
مربّع,moreba3,مربّع,square,
رؤية,ro2ya,رؤية,vision,
بقعة,bo93a,بقعة,spot,
بقعة,boq3a,بقعة,spot,
تمييز,tmyiz,تمييز,distinction,
تمييز,tamyiz,تمييز,distinction,
قهوي,9ehwi,بني,brown,
قهوي,9ahwi,بني,brown,
قهوي,9hwi,بني,brown,
قهوي,qehwi,بني,brown,
قهوي,qahwi,بني,brown,
قهوي,qhwi,بني,brown,
قهوي,9e8wi,بني,brown,
قهوي,9a8wi,بني,brown,
قهوي,98wi,بني,brown,
قهوي,qe8wi,بني,brown,
قهوي,qa8wi,بني,brown,
قهوي,q8wi,بني,brown,
جماعة,jma3a,جماعة,crowd,
مازوط,mazot,مازوت,fuel,
مجموع,mjmo3,مجموع,sum,
مجموع,majmo3,مجموع,sum,
